"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 31 02:34:00 GMT 2025","Fri Jan 31 02:34:01 GMT 2025","116","","randomImage.spec.js","","","","Validate image URL in response",""
"passed","Fri Jan 31 02:34:00 GMT 2025","Fri Jan 31 02:34:00 GMT 2025","119","","breedsListAll.spec.js","","","","Validate breeds list is not empty",""
"passed","Fri Jan 31 02:34:00 GMT 2025","Fri Jan 31 02:34:00 GMT 2025","431","","breedsListAll.spec.js","","","","Validate API response structure",""
"passed","Fri Jan 31 02:34:00 GMT 2025","Fri Jan 31 02:34:00 GMT 2025","121","","randomImage.spec.js","","","","Validate successful API response",""
"passed","Fri Jan 31 02:34:00 GMT 2025","Fri Jan 31 02:34:00 GMT 2025","444","","imageByBreed.spec.js","","","","Validate API response structure for breed images",""
"passed","Fri Jan 31 02:34:00 GMT 2025","Fri Jan 31 02:34:00 GMT 2025","117","","imageByBreed.spec.js","","","","Validate at least one image is returned for breed",""
"passed","Fri Jan 31 02:34:00 GMT 2025","Fri Jan 31 02:34:00 GMT 2025","236","","imageByBreed.spec.js","","","","Validate all returned URLs are valid image links for breed",""
"passed","Fri Jan 31 02:34:00 GMT 2025","Fri Jan 31 02:34:00 GMT 2025","110","","breedsListAll.spec.js","","","","Validate retriever contains golden",""
"passed","Fri Jan 31 02:34:00 GMT 2025","Fri Jan 31 02:34:01 GMT 2025","114","","imageByBreed.spec.js","","","","Validate return with invalid breed",""
